source,latitude,longitude,requested_datetime,updated_datetime,closed_date,description,address
Police Report,39.16160965,-86.53526306,2012-03-26T16:41:03-04:00,2016-09-11T22:02:05-04:00,2012-06-14T15:50:13-04:00,"(Reported 1/20/12) State Farm building had ""Lil Tee"" spray painted on it in black paint.","444 S College AVE, Bloomington, IN, 47403"
Police Report,39.15472412,-86.53669739,2012-03-26T16:44:02-04:00,2016-09-11T22:02:05-04:00,2012-06-05T16:51:36-04:00,"(Reported 1/31/12) Shed on his property was spray painted ""Kill Racist Cops LPs"" in pink paint","1112 S Morton ST, Bloomington, IN, 47403"
Police Report,39.17258072,-86.53622437,2012-03-26T16:47:11-04:00,2016-09-11T22:02:05-04:00,2012-07-02T17:00:51-04:00,"(Reported 2/15/12) Brick wall at residence spray painted ""Darko"", ""Taco"", and ""Donny"" - unk color of paint","627 N Morton ST, Bloomington, IN, 47404"
Police Report,39.16690445,-86.53070831,2012-03-26T16:50:33-04:00,2016-09-11T22:02:05-04:00,2012-06-08T14:01:07-04:00,"(Reported 2/17/12) Employee of Library reported graffiti on building ""666"" and other eligible print in spraypaint","303 E Kirkwood AVE, Bloomington, IN, 47408"
Police Report,39.15892029,-86.53658295,2012-03-26T16:53:17-04:00,2016-09-11T22:02:05-04:00,2012-06-08T14:00:12-04:00,"(Reported 2/20/12)  Metropolitan Printing has ""Solidarity for Oakland Commune"" , ""P"" and ""B"" spraypainted on their building in unknown color of paint","720 S Morton ST, Bloomington, IN, 47403"
Police Report,39.16176987,-86.56973267,2012-03-26T16:55:32-04:00,2016-09-11T22:02:05-04:00,2012-06-05T16:51:07-04:00,(Reported 2/24/12)  Unknown person from Utilities or Transit reported that a utility box and a bus terminal had unknown words spray painted on them in orange paint,"500 S Basswood DR, Bloomington, IN, 47403"
Police Report,,,2012-03-26T16:57:53-04:00,2016-09-11T22:02:05-04:00,2012-06-08T13:59:06-04:00,"(Reported 2/24/12) Storage Building at the Uptown Cafe had ""kill cops"" wirtten on in black marker",102 E Kirkwood AVE
Police Report,39.14510727,-86.54698181,2012-03-26T17:01:05-04:00,2016-09-11T22:02:05-04:00,2012-06-05T16:50:09-04:00,"(Reported 2/27/12) Unk person at Parks and Rec reported graffiti in the restrooms at RCA Park ""303"" ""ROB"" ""OB"" in black paint","1400 W RCA Park DR, Bloomington, IN, 47403"
Police Report,,,2012-03-26T17:04:28-04:00,2016-09-11T22:02:05-04:00,2012-06-15T15:52:05-04:00,"(Reported 3/4/12) Yarns Unlimited ""ACT"", ""Bitch"", ""stak"", ""Viktract"" and a man's face spray painted on building in silver and black paint",115 S Walnut ST
Police Report,,,2012-03-26T17:06:19-04:00,2016-09-11T22:02:05-04:00,2012-06-14T15:54:49-04:00,"(Reported 3/4/12) Farm Restaurant had graffiti to building ""Always causing trouble"", ""ACT"" ""cranberry"" in black and silver spray paint",108 E Kirkwood AVE
Police Report,39.16638947,-86.53713226,2012-03-26T17:08:56-04:00,2016-09-11T22:02:05-04:00,2012-06-08T13:54:55-04:00,(Reported 3/13/12) retaining wall at Kirkwood Apts. had script writing of some sort on it in Black paint,"315 W Kirkwood AVE, Bloomington, IN, 47404"
Police Report,39.16438675,-86.5358963,2012-03-26T17:10:43-04:00,2016-09-11T22:02:05-04:00,2012-06-08T13:53:31-04:00,"(Reported 3/14/12) Convention Center building and ramp had graffiti on it - however, was already painted over before report was made.","302 S College AVE, Bloomington, IN, 47403"
Police Report,,,2012-03-26T17:16:42-04:00,2016-09-11T22:02:05-04:00,2012-06-05T16:49:37-04:00,"(Reported 3/20/12) Front door to apartment B105 at Walnut Grove Apts. had ""Bitch I get you sooner or later"" in black marker.","3100 S Walnut Street PIKE, Bloomington, IN, 47401"
Police Report,39.16632462,-86.52849579,2012-03-26T17:30:15-04:00,2016-09-11T22:02:05-04:00,2012-06-08T13:50:57-04:00,On 2/15/12 witness reported Brent Combs spay pained the Kirlroys building - Mr. Combs was arrested,"430 E Kirkwood AVE, Bloomington, IN, 47408"
Police Report,39.16696548,-86.52903748,2012-03-26T17:32:27-04:00,2016-09-11T22:02:05-04:00,2012-06-08T13:48:40-04:00,"(Date 2/5/12) Officer located subject spray painting building.  John Boyd was arrested for vandlism to Indiana Shop, Kirloy's and Bloomingfoods.  All buildings had a french saying in pink paint","419 E Kirkwood AVE, Bloomington, IN, 47408"
Missing,39.19276047,-86.49111176,2012-04-02T17:51:16-04:00,2016-09-11T22:02:05-04:00,2012-06-15T11:54:57-04:00,"Just a test, please ignore this report","3600 Commodore Trail, Bloomington, IN"
Police Report,39.16323853,-86.5174408,2012-04-04T19:07:54-04:00,2016-09-11T22:02:05-04:00,2012-06-05T17:00:21-04:00,"Latter Day Saints Institute of Religion had the side of their building tagged, ""Mohammad Bitches"" spray-painted in unknown color.","333 S Highland AVE, Bloomington, IN, 47401"
Police Report,39.14272308,-86.54295349,2012-04-04T19:12:20-04:00,2016-09-11T22:02:05-04:00,2012-06-05T16:48:13-04:00,Addresses of 2309 and 2317 had fences tagged with unk type of graffiti and color.  Compl is neighbor not owner of property.  Owners: 2309 - Susan Constantine and 2317 - Cindy Groner.,"2309 S Boulder CT, Bloomington, IN, 47403"
Missing,,,2012-04-05T18:10:21-04:00,2016-09-11T22:02:05-04:00,2012-04-06T14:56:58-04:00,These utility cabinets appear to be owned by AT&T and are located on South Walnut Street Pike just north of the Peppergrass Neighborhood where I live. This graffiti has been on this cabinet at least 6 months.,
Missing,39.16375351,-86.53530121,2012-04-13T13:38:38-04:00,2016-09-11T22:02:05-04:00,2012-04-13T19:11:04-04:00,purple tag (anti capitol),"310 S College Ave, Bloomington, IN"
Missing,39.16746521,-86.54521942,2012-04-13T16:42:20-04:00,2016-09-11T22:02:05-04:00,2012-04-13T19:15:30-04:00,"Large green lettering with black outline on concrete retaining wall of property at NW corner of W 7th and Elm - says ""Crimps""","150-198 N Elm St, Bloomington, IN"
Missing,39.16477585,-86.51219177,2012-04-22T21:00:53-04:00,2016-09-11T22:02:05-04:00,2012-04-23T13:33:06-04:00,"Graffiti appears on the green fence covering on the north side of Jones Ave behind Forest Quadrangle.  I'm not sure if this is considered public, private, or business property since it is presumably that of Indiana University.","1701-1799 E 3rd St, Bloomington, IN"
Police Report,,,2012-04-26T17:48:21-04:00,2016-09-11T22:02:05-04:00,2012-06-08T13:46:59-04:00,"""BPD shoot to kill"" and anarchy symbol on bench on Bline trail near West Dodds Street",
Police Report,39.17936325,-86.54430389,2012-04-26T17:52:07-04:00,2016-09-11T22:02:05-04:00,2012-04-26T17:52:56-04:00,box truck/van spray painted.  previous problems on building.,"926 W 17th ST, Bloomington, IN, 47404"
Police Report,,,2012-04-26T17:56:19-04:00,2016-09-11T22:02:05-04:00,2012-06-05T16:46:02-04:00,"Area of S. Edwards Ct and Olcott Blvd - 3 multi-box mailboxes in the area owned by US Post office had stencil figure, letter K and other unrecognized symbols spray painted on them.",
Police Report,39.15625381,-86.53534698,2012-04-26T18:05:53-04:00,2016-09-11T22:02:05-04:00,2012-06-08T13:46:04-04:00,Storage Express 6 storage doors spray painted:  #1 Break In; #2 Steal Shit; #3 Class War; #4 Fuck Ma Rick; #5 Crime Pays Yo.; and #6 Circled A w/Anarchy symbol with figure 8 on its side below the A.,"222 W Allen ST, Bloomington, IN, 47403"
Police Report,39.16438675,-86.5358963,2012-04-26T18:09:45-04:00,2016-09-11T22:02:05-04:00,2012-06-05T16:47:32-04:00,"Bench on B-line trail next to pole 91 ""BPD shoot to kill"" and anarchy symbol.","302 S College AVE, Bloomington, IN, 47403"
Police Report,,,2012-04-26T18:15:00-04:00,2016-09-11T22:02:05-04:00,2012-06-05T16:45:20-04:00,"Bench on trail with ""BPD shoot to kill"" and anarchy symbol in the are of 300 S. Morton Street",S Morton ST
Police Report,39.16096878,-86.53191376,2012-04-26T18:20:51-04:00,2016-09-11T22:02:05-04:00,2012-06-12T15:49:23-04:00,"Resident reported window to building, owned by Mike Casad, had ""fuck you"" painted on it with a paint brush.","208 E 2nd ST, Bloomington, IN, 47401"
Police Report,,,2012-04-26T18:25:32-04:00,2016-09-11T22:02:05-04:00,2012-06-14T15:55:47-04:00,Mark Ratzlaff was arrested for Vandalism after being found by officer spraying Exeus Characters on the wall of the 4th Street Parking Garage.,"105 W 4th ST, Bloomington, IN"
Police Report,39.14927673,-86.53726196,2012-04-26T18:41:19-04:00,2016-09-11T22:02:05-04:00,2012-06-05T16:48:54-04:00,"Real LIfe Media building seen from B-line trail near pole 32.  Blk paint ""Kill Cops"" with bullet going through K in Kill and blood dripping and red around the C in Cops.  Then someone wrote ""or whatever"" and ""812-369-1173"" with an upside-down cross under the Kill Cops.  Also had the signature A with a circle around it.","1525 S Rogers ST, Bloomington, IN, 47403"
Police Report,39.15801239,-86.53261566,2012-05-01T17:02:00-04:00,2016-09-11T22:02:05-04:00,2012-06-05T16:44:38-04:00,"Side of detached garage had ""BLOC!"" in burnt red spray paint on it","708 S Washington ST, Bloomington, IN, 47401"
Police Report,39.15520477,-86.53439331,2012-05-01T17:05:08-04:00,2016-09-11T22:02:05-04:00,2012-06-08T13:45:04-04:00,"Building and Fence possibly owned by Auto Heaven - graffiti found by officer - black paint ""I (heart) apple"" with A in apple ciricled.  Also a picture of a cat with ""LOLZ""","103 W Allen ST, Bloomington, IN, 47403"
Police Report,,,2012-05-01T17:08:08-04:00,2016-09-11T22:02:05-04:00,2012-06-08T13:43:55-04:00,"Citizen on B-line trail called about graffiti on a sign at the new bridge at Grimes.  ""Fuck the b-line"" and ""LOLZ"" with an A inside the O spray painted on sign.  Nancy Rollins at Parks and Rec called by officer for b-line clean up.","130 W Grimes LN, Bloomington, IN, 47403"
Missing,39.17019272,-86.53690338,2012-05-07T17:00:24-04:00,2016-09-11T22:02:05-04:00,2012-05-07T17:38:26-04:00,just a test,"501 N Morton St, Bloomington, IN"
Missing,39.1543045,-86.5327301,2012-05-09T14:12:54-04:00,2016-09-11T22:02:05-04:00,2012-05-09T17:39:21-04:00,One way sign tagged at Davis & Wasington,"151-199 E Davis St, Bloomington, IN"
Missing,,,2012-05-16T15:27:51-04:00,2016-09-11T22:02:05-04:00,2012-05-16T17:53:50-04:00,The addresses are 934-1108 and various walls.windows have painted graffiti.  Our hours are 6am - 2:30pm,
Missing,39.17192459,-86.52822113,2012-05-18T12:59:30-04:00,2016-09-11T22:02:05-04:00,2012-05-21T18:08:56-04:00,"Someone painted a penis in yellow on the back window of my 1998 Chevy Cavalier and wrote ""Call me maybe 812-339-2260"" in red paint on the side window. There were also yellow penises painted on the windows of two other cars. One was a Honda SUV and the other was a BMW SUV.","600-648 N Dunn St, Bloomington, IN"
Missing,39.16793442,-86.53686523,2012-05-18T22:12:41-04:00,2016-09-11T22:02:05-04:00,2012-06-15T12:01:15-04:00,,"Bloomington Rail Trail, Bloomington, IN"
Missing,39.14655304,-86.48545074,2012-05-23T19:35:08-04:00,2016-09-11T22:02:05-04:00,2012-06-15T11:54:23-04:00,Graffiti on mailboxes,"2303-2559 S Olcott Blvd, Bloomington, IN"
Missing,39.15567017,-86.53311157,2012-05-25T04:19:17-04:00,2016-09-11T22:02:05-04:00,2012-06-15T15:55:29-04:00,In the alley between Walnut and Washington and South of Dixie St on the block wall on the West side of the alley.,"101-151 E Allen St, Bloomington, IN"
Missing,,,2012-05-29T15:57:47-04:00,2016-09-11T22:02:05-04:00,2012-06-15T15:54:10-04:00,"Reported to B. Calender-Anderson:  Lives at 314 N. Lincoln.  Garage doors in alley to the south has been hit by graffiti 4 or 5 times with black paint.  Next block across Lincoln to the west (Pavillion Properties) has also been tagged with ""420 Kids"" and ""Don't Try Me"" in black paint.",
Missing,39.16872787,-86.53650665,2012-05-29T19:09:21-04:00,2016-09-11T22:02:05-04:00,2012-06-15T11:52:36-04:00,test,"306-318 W 7th St, Bloomington, IN"
Missing,39.17012787,-86.53640747,2012-05-29T19:14:18-04:00,2016-09-11T22:02:05-04:00,2012-06-15T11:52:19-04:00,scandalous graffiti. just a test please ignore.,"401-499 N Morton St, Bloomington, IN"
Missing,,,2012-05-29T20:34:04-04:00,2016-09-11T22:02:05-04:00,2012-06-18T14:55:19-04:00,"Reflective signs in the ""islands"" along W. 6th Street have graffiti and (in some cases) anti govt. fliers on them.",
Police Report,39.16698074,-86.53901672,2012-05-30T13:34:03-04:00,2016-09-11T22:02:05-04:00,2012-06-14T15:49:06-04:00,Employee of Salvation Army reported limestone porttion of building spraypainted in purple bubble letters.,"111 N Rogers ST, Bloomington, IN, 47404"
Police Report,39.15785217,-86.53397369,2012-05-30T13:36:20-04:00,2016-09-11T22:02:05-04:00,2012-06-08T13:41:10-04:00,"Employee of Sarah Jane & David's had ""cats"" spray painted on their business sign","752 S Walnut ST, Bloomington, IN, 47403"
Police Report,39.15892029,-86.53658295,2012-05-30T13:38:45-04:00,2016-09-11T22:02:05-04:00,2012-06-08T13:27:25-04:00,Additional graffiti to the south and east sides of Metropolitan Reporting buliding,"720 S Morton ST, Bloomington, IN, 47403"
Police Report,,,2012-05-30T13:41:01-04:00,2016-09-11T22:02:05-04:00,2012-06-05T16:41:50-04:00,Swastika painted on the entrance sign to Barclay Apartments,"3000 S Walnut Street PIKE, Bloomington, IN, 47401"
Police Report,39.17182541,-86.5512619,2012-05-30T13:43:41-04:00,2016-09-11T22:02:05-04:00,2012-06-05T16:42:37-04:00,"Triangles, star of David & a cross written in markers on window and sidewalk of business","1600 W Vernal PIKE, Bloomington, IN, 47404"
Police Report,39.16913223,-86.53134918,2012-05-30T13:46:27-04:00,2016-09-11T22:02:05-04:00,2012-06-18T14:51:22-04:00,Blk X spraypainted on sign and vinyl siding of business - Barnhart Sturgeon & Spencer,"313 N Lincoln ST, Bloomington, IN, 47408"
Police Report,39.16896057,-86.5320816,2012-05-30T13:48:36-04:00,2016-09-11T22:02:05-04:00,2012-06-08T13:13:17-04:00,Front & south side of building had spray paint on it for Parker Real Estate.,"312 N Washington ST, Bloomington, IN, 47408"
Police Report,39.1691246,-86.53207397,2012-05-30T13:51:56-04:00,2016-09-11T22:02:05-04:00,2012-06-08T13:10:40-04:00,"LSD in blk on building; NO 3 times on garage door; ""HO DO"" in red on walls & what appears to be elephant on floor of parking stall.","314 N Washington ST, Bloomington, IN, 47408"
Police Report,,,2012-05-30T13:54:06-04:00,2016-09-11T22:02:05-04:00,2012-06-06T14:35:22-04:00,"Officer Initiated:  Pavillion Heights building, north and west walls, had red & blk paint ""HO DO""","219 E 7th ST, Bloomington, IN"
Police Report,39.16901016,-86.53264618,2012-05-30T13:56:11-04:00,2016-09-11T22:02:05-04:00,2012-06-14T15:46:55-04:00,"Officer Initiated:  AT&T building had ""#"" painted next to a glass door, as well as illegible letters and characters.","305 N Washington ST, Bloomington, IN, 47408"
Police Report,39.16875076,-86.53199005,2012-05-30T13:58:38-04:00,2016-09-11T22:02:05-04:00,2012-06-12T15:14:12-04:00,"Officer Initiated:  The Manor had ""TRY LSD"" spray painted on a column & a mailbox.  Also ""HO DO"" in red on mailbox.","302 N Washington ST, Bloomington, IN"
Missing,39.14692688,-86.48509979,2012-06-02T19:31:04-04:00,2016-09-11T22:02:05-04:00,2012-06-05T13:25:40-04:00,Graffiti on mail boxes- black writing and scribbles. Two mailboxes- this one and the one across the street from it. Both were sprayed about five weeks ago.,"2235-2301 S Olcott Blvd, Bloomington, IN"
Missing,,,2012-06-07T13:53:02-04:00,2016-09-11T22:02:05-04:00,2012-06-13T11:45:51-04:00,Railroad overpass norrh of 7th on Adams,
Missing,,,2012-06-07T20:33:41-04:00,2016-09-11T22:02:05-04:00,2012-06-13T11:44:02-04:00,Rairoad overpass on adams between 7th and 8th. Saw a city guy painting white over the original grafitti. Looks worse now. Needs to be properly removed.,
Missing,,,2012-06-08T18:41:05-04:00,2016-09-11T22:02:05-04:00,2012-06-26T11:08:18-04:00,"tags, names or other words",
Missing,,,2012-06-11T20:00:58-04:00,2016-09-11T22:02:05-04:00,2012-06-11T20:18:19-04:00,7th and college across from justice building. Posterboard signs put up by hillbillies for their jailed acquaintences.,
Missing,,,2012-06-12T12:51:58-04:00,2016-09-11T22:02:05-04:00,2012-06-26T11:07:44-04:00,Someone is tagging city property with these snowflakes. Damn things are everywhere.,
Missing,,,2012-06-14T14:06:27-04:00,2016-09-11T22:02:05-04:00,2012-06-26T16:57:02-04:00,On ductwork on roof of building just north of old national bank parking lot across from buskirk chumley theater,
Missing,,,2012-06-18T13:16:11-04:00,2016-09-11T22:02:05-04:00,2012-06-26T16:53:14-04:00,318 w smith,
Missing,,,2012-06-18T13:20:44-04:00,2016-09-11T22:02:05-04:00,2012-06-26T16:52:26-04:00,318 w smith,
Missing,,,2012-06-18T13:22:05-04:00,2016-09-11T22:02:05-04:00,2012-06-26T16:51:41-04:00,318 w smith,
Missing,,,2012-06-18T13:27:57-04:00,2016-09-11T22:02:05-04:00,2012-06-26T16:54:23-04:00,318 east smith,
Missing,,,2012-06-18T16:43:01-04:00,2016-09-11T22:02:05-04:00,2012-06-28T16:52:26-04:00,318 east smith,
Missing,,,2012-06-18T16:44:54-04:00,2016-09-11T22:02:05-04:00,2012-06-26T11:05:05-04:00,Apartment building north of bryan park on henderson.,
Missing,,,2012-06-18T22:33:40-04:00,2016-09-11T22:02:05-04:00,2012-07-10T08:04:37-04:00,"Northwest corner of building with ""lilt"" store between morton and college on 7th",
Missing,,,2012-06-19T15:37:39-04:00,2016-09-11T22:02:05-04:00,2012-06-26T12:25:28-04:00,Still lots of graffiti and old fliers on the yellow & black signs in the small islands along W. Sixth Street.,
Missing,,,2012-06-19T15:51:57-04:00,2016-09-11T22:02:05-04:00,2012-07-11T12:02:11-04:00,scottys garage has 2 places behind garbage dumpsters where ther is graffiti wrote on the outside walls,
Missing,,,2012-06-19T15:53:13-04:00,2016-09-11T22:02:05-04:00,2012-06-22T12:48:48-04:00,buskirk chumley building has silver metallic paint sprayed on the back of the building,
Missing,,,2012-06-19T15:55:39-04:00,2016-09-11T22:02:05-04:00,2012-06-22T12:44:55-04:00,red paint with the words i hate cops wrote on building    922 s. morton,
Missing,,,2012-06-19T15:58:49-04:00,2016-09-11T22:02:05-04:00,2012-06-25T17:00:33-04:00,east side of building has black spray painted graffiti   208 e.2nd st.,
Missing,,,2012-06-20T12:20:13-04:00,2016-09-11T22:02:05-04:00,2012-06-26T12:22:48-04:00,east side of building has anarchy symbol displayed at 205 w. 6th st.,
Missing,,,2012-06-20T12:22:52-04:00,2016-09-11T22:02:05-04:00,2012-06-22T12:38:38-04:00,934 to 1108 s. morton 3 buildings have graffiti,
Missing,,,2012-06-20T12:24:47-04:00,2016-09-11T22:02:05-04:00,2012-06-25T13:02:12-04:00,420 s. college 3 spots on building behind furniture exchange have graffiti right on the b-line,
Missing,,,2012-06-20T15:47:10-04:00,2016-09-11T22:02:05-04:00,2012-06-28T16:50:39-04:00,507 e. kirkwood two posters attached to building wants them removed,
Missing,,,2012-06-20T15:48:16-04:00,2016-09-11T22:02:05-04:00,2012-06-25T12:58:23-04:00,205 w. 6th st. anarchy symbol on east side of building,
Missing,,,2012-06-20T15:49:11-04:00,2016-09-11T22:02:05-04:00,2012-06-25T16:53:24-04:00,122 e. kirkwood mardon salon purple graffiti on east side of building,
Missing,,,2012-06-20T20:04:16-04:00,2016-09-11T22:02:05-04:00,2012-06-26T11:03:04-04:00,Back pf speed limit sign atwater and woodlawn just east of subway,
Missing,39.16997147,-86.53682709,2012-06-20T23:43:59-04:00,2016-09-11T22:02:05-04:00,2012-06-26T16:49:52-04:00,ignore,"311-399 W 8th St, Bloomington, IN"
Missing,,,2012-06-22T12:01:51-04:00,2016-09-11T22:02:05-04:00,2012-06-28T12:10:09-04:00,209 w. washington has black graffiti below meters,
Police Report,39.15982056,-86.53596497,2012-06-22T16:44:51-04:00,2016-09-11T22:02:05-04:00,2012-06-26T16:49:01-04:00,"""sloth"" written on Mr. Frenz's white Econoline van.","528 S College AVE, Bloomington, IN, 47403"
Police Report,39.14488983,-86.52640533,2012-06-22T16:48:25-04:00,2016-09-11T22:02:05-04:00,2012-06-26T11:00:42-04:00,"brick wall spray painted with ""fucking nigger gotta die bitches"" in 3/8"" to 1/2"" letters","627 E Alpine TRL, Bloomington, IN, 47401"
Police Report,39.17077637,-86.5326004,2012-06-22T16:58:16-04:00,2016-09-11T22:02:05-04:00,2012-06-26T11:00:08-04:00,"rental house vandalized with food, eggs, and spraypaint on north, south and east sides geared toward complainant","509 N Washington ST, Bloomington, IN, 47408"
Police Report,,,2012-06-22T17:03:43-04:00,2016-09-11T22:02:05-04:00,2012-06-26T10:59:29-04:00,"BLK, ORANGE, SILVER, PINK, WHT & BLUE SPRAYPAINT ALL OVER ROSEHILL CEMETERY BUILDING, ROADWAY, DUMPSTER AND LAMPPOST.",1100 W 4th ST
Police Report,39.15597153,-86.49575806,2012-06-22T17:06:05-04:00,2016-09-11T22:02:05-04:00,2012-06-26T10:58:57-04:00,FENCE OF BACK OF PROPERTY SPRAY PAINTED,"857 S Auto Mall RD, Bloomington, IN, 47401"
Missing,39.11314392,-86.58933258,2012-06-24T21:56:59-04:00,2016-09-11T22:02:05-04:00,2012-06-26T10:58:31-04:00,graffiti on Leonard springs welcome sign/map,"4865 S Leonard Springs Rd, Bloomington, IN"
Missing,39.11314392,-86.58933258,2012-06-24T22:02:55-04:00,2016-09-11T22:02:05-04:00,2012-06-26T10:57:51-04:00,graffiti on Leonard springs welcome sign/map,"4865 S Leonard Springs Rd, Bloomington, IN"
Missing,,,2012-06-25T16:35:35-04:00,2016-09-11T22:02:05-04:00,2012-06-25T16:48:12-04:00,corner of 1st and walnut (601 south) metal traffic control box has black graffiti,
Missing,,,2012-06-25T16:36:53-04:00,2016-09-11T22:02:05-04:00,2012-06-25T16:42:34-04:00,mailbox in front of 118 n. walnut has black graffiti on side,
Missing,,,2012-06-26T15:51:38-04:00,2016-09-11T22:02:05-04:00,2012-06-28T16:48:50-04:00,"Traffic control box, corner of henderson and atwater",
Missing,,,2012-06-26T15:53:10-04:00,2016-09-11T22:02:05-04:00,2012-07-02T16:58:37-04:00,Retaining wall on Morton across from north showers parking lot,
Missing,,,2012-06-26T16:25:51-04:00,2016-09-11T22:02:05-04:00,2012-07-13T11:38:35-04:00,On side of kroger along bline,
Missing,,,2012-06-26T17:01:25-04:00,2016-09-11T22:02:05-04:00,2012-06-28T11:51:25-04:00,318 n rogers vinyl siding nailed with graffiti,
Missing,,,2012-07-02T12:19:58-04:00,2016-09-11T22:02:05-04:00,2012-07-03T16:37:55-04:00,In front of law office at 608 w 3rd,
Missing,,,2012-07-02T16:31:32-04:00,2016-09-11T22:02:05-04:00,2012-07-03T16:32:49-04:00,221 e. kirkwood has graffiti on west side of building,
Missing,,,2012-07-02T16:32:54-04:00,2016-09-11T22:02:05-04:00,2012-07-02T16:54:02-04:00,520 s. walnut post office had black and purple graffiti on dumpster enclosure,
Missing,,,2012-07-02T16:34:09-04:00,2016-09-11T22:02:05-04:00,2012-07-02T16:50:49-04:00,electrical panel for traffic light has graffiti,
Missing,,,2012-07-03T16:18:44-04:00,2016-09-11T22:02:05-04:00,2012-07-03T16:40:26-04:00,104 s. walnut uptown storage had black graffiti,
Missing,,,2012-07-03T16:20:00-04:00,2016-09-11T22:02:05-04:00,2012-07-11T07:42:53-04:00,520 west kirkwood garage pounded with graffiti,
Missing,,,2012-07-03T16:21:39-04:00,2016-09-11T22:02:05-04:00,2012-07-06T12:45:36-04:00,608 w. kirkwood hair intl. kelly harding signed waver to remove graffiti from vinyl fence,
